Date,Year,Month,CSENT,IPM,HOUSE,UNEMP,LRIR,SP500,SP500_Price,SP500_Rise
2006-02-28,2006,2,-7.863974495217841,2.594406210060085,-19.560272934040945,4.8,0.9117463617463697,6.402464286877008,1280.6600341796875,1.0
2006-03-31,2006,3,-3.995680345572339,3.0016461164767305,-15.963855421686745,4.7,1.4420818228896986,9.679908571598727,1294.8699951171875,1.0
2006-04-30,2006,4,-0.34207525655644,2.939371724355788,-10.873015873015868,4.7,1.4561641713990694,13.291266197913565,1310.6099853515625,1.0
2006-05-31,2006,5,-8.975834292289997,2.448024171234442,-15.552099533437014,4.6,1.1427272727272708,6.595884668091689,1270.0899658203125,1.0
2006-06-30,2006,6,-11.562499999999998,2.5489356773443106,-15.698587127158559,4.6,0.9682756840474829,6.620331732308671,1270.199951171875,1.0
2006-07-31,2006,7,-12.2279792746114,2.627565021999989,-30.52555795536357,4.7,0.8853309389430466,3.4419597319711226,1276.6600341796875,1.0
2006-08-31,2006,8,-7.968574635241299,2.8785280464488805,-17.529880478087644,4.7,0.8134319224885171,6.841591474513753,1303.8199462890625,1.0
2006-09-30,2006,9,11.05331599479844,4.179874647490567,-18.327974276527325,4.5,2.627927565392363,8.71085944028518,1335.8499755859375,1.0
2006-10-31,2006,10,26.145552560646877,2.156381486676029,-29.56586826347305,4.4,3.203671521848303,14.161434475080782,1377.93994140625,1.0
2006-11-30,2006,11,12.867647058823529,1.3475582764117089,-17.38056013179572,4.5,2.491297324583533,12.097034508496707,1400.6300048828125,1.0
2006-12-31,2006,12,0.21857923497268228,2.776442224286413,-19.45117029862793,4.4,2.1860222110045537,13.619431738260701,1418.300048828125,1.0
2007-01-31,2007,1,6.25,1.6138154484443668,-24.105621805792165,4.6,2.754234821876577,12.35548087692504,1438.239990234375,1.0
2007-02-28,2007,2,5.305651672433664,2.27323613860555,-21.960414703110274,4.5,2.1397392176529717,9.85116336438072,1406.8199462890625,1.0
2007-03-31,2007,3,-0.5624296962879693,3.2463385285410595,-25.358422939068102,4.4,1.8518027040560732,9.7299335616293,1420.8599853515625,1.0
2007-04-30,2007,4,-0.3432494279176357,3.5553072383907036,-21.015138023152268,4.5,2.0370752366716474,13.10534878303644,1482.3699951171875,1.0
2007-05-31,2007,5,11.63084702907713,3.718642497363267,-22.467771639042354,4.4,2.1901142573273873,20.51272242975375,1530.6199951171875,1.0
2007-06-30,2007,6,0.4711425206124664,3.747914197013724,-26.163873370577285,4.6,2.3372348860257732,18.355379733636457,1503.3499755859375,1.0
2007-07-31,2007,7,6.729634002361284,4.065934282399319,-19.378238341968913,4.7,2.4621094135041925,13.99041096060687,1455.27001953125,1.0
2007-08-31,2007,8,1.7073170731707332,2.998290097220191,-32.463768115942024,4.6,2.642551521099124,13.05165214181998,1473.989990234375,1.0
2007-09-30,2007,9,-2.3419203747072626,3.2638362839806145,-32.48031496062992,4.7,1.7561735700197314,14.290528719763529,1526.75,1.0
2007-10-31,2007,10,-13.568376068376054,3.594204319792116,-22.741764080765147,4.7,0.8693016344725244,12.441766025128809,1549.3800048828125,1.0
2007-11-30,2007,11,-17.372421281216067,4.0519908373592095,-36.09172482552343,4.7,-0.40326732673266585,5.748128305473577,1481.1400146484375,1.0
2007-12-31,2007,12,-17.666303162486376,2.6484841002214488,-37.97595190380761,5.0,-0.06881339241753182,3.5295730663479574,1468.3599853515625,1.0
2008-01-31,2008,1,-19.091847265221872,2.797885130282096,-29.629629629629626,5.0,-0.624695655165981,-4.150207323641652,1378.550048828125,0.0
2008-02-29,2008,2,-22.453450164293542,1.6833062008625888,-28.3816425120773,4.9,-0.612959270611968,-5.415756409142858,1330.6300048828125,0.0
2008-03-31,2008,3,-21.38009049773756,0.3840579155894863,-35.77430972388955,5.1,-0.5249035501344341,-6.908494516818964,1322.699951171875,0.0
2008-04-30,2008,4,-28.128587830080363,-1.2903164523896615,-39.57158962795941,5.0,-0.13376097598881254,-6.528736389407563,1385.5899658203125,0.0
2008-05-31,2008,5,-32.276330690826725,-1.7786884311124074,-40.142517814726844,5.4,-0.02841382312399343,-8.508969610344309,1400.3800048828125,0.0
2008-06-30,2008,6,-33.88042203985931,-2.864759351505275,-38.587641866330394,5.6,-0.9459661059478641,-14.856818386476235,1280.0,0.0
2008-07-31,2008,7,-32.30088495575222,-3.955532672847528,-38.688946015424165,5.8,-1.5075120783418372,-12.911007038333533,1267.3800048828125,0.0
2008-08-31,2008,8,-24.460431654676263,-4.986073903177579,-37.768240343347635,6.1,-1.4780171620912386,-12.968882790668868,1282.8299560546875,0.0
2008-09-30,2008,9,-15.707434052757808,-8.683613730960083,-36.88046647230321,6.1,-1.103319875136075,-23.605044352280167,1166.3599853515625,0.0
2008-10-31,2008,10,-28.80098887515451,-9.063818185948946,-45.942228335625856,6.5,0.278942110043487,-37.4749901930436,968.75,0.0
2008-11-30,2008,11,-27.33245729303547,-11.844386424942444,-39.31357254290172,6.8,1.8300825293833154,-39.489853668756226,896.239990234375,0.0
2008-12-31,2008,12,-20.397350993377483,-15.016885891964115,-39.09531502423263,7.3,2.272228002553859,-38.485793060906715,903.25,0.0
2009-01-31,2009,1,-21.938775510204078,-17.611137791086374,-46.411483253588514,7.8,2.9835860190221273,-40.09067675236928,825.8800048828125,0.0
2009-02-28,2009,2,-20.48022598870056,-17.01335999135005,-37.268128161888704,8.3,3.0115368593284892,-44.756241467724344,735.0900268554688,0.0
2009-03-31,2009,3,-17.55395683453238,-18.100143530234213,-36.63551401869158,8.7,3.1564787676623838,-39.678685675440065,797.8699951171875,0.0
2009-04-30,2009,4,3.9936102236421522,-17.782561459457014,-37.126865671641795,9.0,3.7363244243767064,-37.00806017010502,872.8099975585938,0.0
2009-05-31,2009,5,14.88294314381271,-18.187649972908126,-25.396825396825395,9.4,4.485761495855172,-34.364957265627794,919.1400146484376,0.0
2009-06-30,2009,6,25.531914893617014,-17.786221898231346,-19.30184804928131,9.5,4.759174618210915,-28.178124427795414,919.3200073242188,0.0
2009-07-31,2009,7,7.843137254901955,-15.427640071659287,-13.83647798742138,9.5,5.478761003762277,-22.084932958993875,987.47998046875,0.0
2009-08-31,2009,8,4.285714285714293,-13.28795817791162,-3.9080459770114984,9.6,4.883835566326763,-20.43996242057835,1020.6199951171876,0.0
2009-09-30,2009,9,4.551920341394022,-9.157501573525028,-10.854503464203235,9.8,4.687942862886472,-9.36932256501718,1057.0799560546875,0.0
2009-10-31,2009,10,22.569444444444443,-8.627585287957451,0.7633587786259444,10.0,3.6339682942003386,6.96154233870967,1036.18994140625,1.0
2009-11-30,2009,11,21.880650994575056,-5.302604859528904,-3.598971722365041,9.9,1.2954128255290724,22.247390969052283,1095.6300048828125,1.0
2009-12-31,2009,12,20.63227953410982,-2.0932294845598,-6.6312997347480085,9.9,1.0358768767916327,23.45419048834072,1115.0999755859375,1.0
2010-01-31,2010,1,21.568627450980404,2.3539765356679565,2.678571428571419,9.8,1.0088886110232842,30.027363390346686,1073.8699951171875,1.0
2010-02-28,2010,2,30.728241563055047,2.363071352731483,-9.677419354838712,9.8,1.4586636421334709,50.25234323462486,1104.489990234375,1.0
2010-03-31,2010,3,28.446771378708547,5.574769452617145,12.389380530973447,9.9,1.5538285606720112,46.56899756446875,1169.4300537109375,1.0
2010-04-30,2010,4,10.906298003072212,7.212882203401727,25.222551928783375,9.9,1.4832292474695596,35.96200143509296,1186.68994140625,1.0
2010-05-31,2010,5,7.132459970887917,9.775920203134781,-25.531914893617024,9.6,1.3064510707814319,18.52492730352693,1089.4100341796875,1.0
2010-06-30,2010,6,7.344632768361592,10.007479945802999,-22.391857506361323,9.4,1.8484394059313733,12.116559274881201,1030.7099609375,1.0
