Date,SP500,SPINFO,NASCOMP,NAS100,DJIA,RUS2000,SPINFO/SP500,SPINFO/DJIA,SPINFO/RUS2000,NAS100/NASCOMP,NAS100/SP500,NAS100/DJIA,NAS100/RUS2000
1998-11-06,248.52650697455405,373.818634740813,249.6785841367533,366.4170768392745,233.8284947845795,161.915547010974,1.504139897556631,1.598687256166974,2.3087260095874367,1.4675550893006566,1.4743581330614,1.5670334668871115,2.263013549986279
1998-11-09,246.17193858382907,375.64620333010186,250.28241830808398,368.75125750824435,231.8094664089115,161.15110169207526,1.5259505429055344,1.6204955265608636,2.3310185247624315,1.4733406365537498,1.4979418841545713,1.5907515047628287,2.2882329294456074
1998-11-10,245.74939464705005,378.48342128925736,250.89700533086977,371.22612574591705,230.9242333906231,160.51608822769393,1.5401194449851745,1.638993949366191,2.3579158043795228,1.4795956821260723,1.5105881594503174,1.6075667776190659,2.3127035417118345
1998-11-11,244.16153132560265,383.15831511660656,250.4249633602743,372.0376786275126,229.87798184171973,159.1449573202595,1.5692820774688054,1.6667899728666773,2.4076057549567715,1.4856253691141805,1.523735850638077,1.6184137151668383,2.337728350882227
1998-11-12,243.44709918482414,379.08927254092674,248.93891928917907,368.4773967493719,230.03220752233085,158.6312908482261,1.5571730934987382,1.6479834568562572,2.3897509155594565,1.480191999714321,1.5135830247442186,1.6018513264652352,2.3228544304157532
1998-11-13,245.19614180055513,376.96887019727063,248.52604262643735,368.14572128219226,232.3729676625994,157.48259856851035,1.537417625860935,1.6222578468964661,2.3937176146688754,1.481316474489383,1.5014335812088164,1.584288073545336,2.3376914314887696
1998-11-16,247.4069463436735,380.2907753207366,250.36714421092336,370.75376271003455,234.76089613210797,157.9113431295119,1.5371062977046486,1.6199068140664021,2.4082549599292493,1.480840323032525,1.4985584204051399,1.5792824478800709,2.347860231965469
1998-11-17,248.15838963219906,383.7943957603663,252.6318588930391,376.52011277088565,234.11038533904525,157.51091410105496,1.5465703026570905,1.6393736450629666,2.4366209665581247,1.4903904615225079,1.517257237721982,1.6083016232944924,2.390438243087841
1998-11-18,249.2823107718659,387.22738850716104,255.17629546209147,380.62563182121545,235.53881738516745,158.59892671294622,1.5533688985318235,1.644006677141217,2.441551128577418,1.491618299152558,1.5268858453801408,1.6159783599439288,2.399925647101781
1998-11-19,251.0531293430601,390.700717924951,258.1672462398879,386.2939575808731,235.9280197048621,159.50897361070128,1.5562471535300588,1.6560166037662853,2.44939647645466,1.4962934423599592,1.538694054886719,1.637338193505433,2.421769439277221
1998-11-20,253.43601445242777,392.9624372840263,259.31438669962563,387.994967513348,238.62439953559294,159.47662181872246,1.5505390507858894,1.6467822990809138,2.4640755039989988,1.4962338667417567,1.5309385619547697,1.6259651916084763,2.4329269273986944
1998-11-23,258.8072572692207,405.9067184438735,265.9323809809145,399.26132125471105,244.21827335166216,161.03785190519778,1.568374560770661,1.6620653027850543,2.5205671439459394,1.5013640677453466,1.5426975482352294,1.634854410258624,2.479301086863443
1998-11-24,257.6702811916632,405.3614492358835,264.3804243928846,397.1934562951476,242.31337503261267,160.4109356462869,1.5731788988671263,1.6728810334193331,2.5270187945896856,1.5023557708830029,1.5414795003064505,1.63917264675006,2.476099616867621
1998-11-25,258.51539565368944,408.2491727746884,266.9800042108494,401.62813579616835,242.6554344644531,161.51108172308287,1.5792064211200183,1.6824233657725616,2.5276852115611965,1.504337888462162,1.5535946506419858,1.655137609765766,2.4866908914942174
1998-11-27,259.70464465974607,413.4591669013733,271.1799530732429,409.13315969495915,243.14520658214445,162.63144612695294,1.5920360894702899,1.7004619285459357,2.542307633288951,1.5087146194189969,1.5753786776936083,1.6826700614257726,2.5157075672535227
1998-11-30,253.45342989910472,398.51573992985305,262.1829519696392,391.447226366206,237.5041644368352,160.8760682587015,1.5723430536666836,1.677931588588373,2.4771598674888553,1.493030814648603,1.5444542475595384,1.6481699480697414,2.433222234998482
1998-12-01,255.99095353957654,416.791179303744,269.4733524230648,410.183424446451,237.94679366667228,161.2764849438574,1.62814807922229,1.75161502654079,2.5843270297516394,1.5221669258134132,1.6023356246572835,1.7238451425450025,2.543355434546094
1998-12-02,255.11316185012132,414.6405475679977,268.3248493882572,406.8065240754554,236.14920711285174,160.7709033339935,1.6253200915270634,1.7558413709593697,2.5790770529329103,1.5160970927698905,1.5946120581361998,1.7226673299015118,2.530349184082988
1998-12-03,250.5151382773172,404.6849702913793,262.8271216463518,395.4221179137877,231.33322910845627,159.76378871700086,1.615411240511134,1.7493594493580094,2.5330206146289003,1.504495104755017,1.5784360204055223,1.7093182827115658,2.475042192534771
1998-12-04,256.3089516193574,420.04239510462577,269.3940111542365,409.550253709956,234.88828115071897,161.12683476226584,1.6388128173081826,1.7882645870915135,2.606905272634296,1.5202648787744417,1.597877292706406,1.7435959414559428,2.541787991517526
1998-12-07,258.6961706490431,432.76453183269,274.43448825250977,421.32914940915515,236.3036872073207,162.25934497434167,1.672867946776818,1.8313913631529781,2.667116226194083,1.5352631226928235,1.6286640360855826,1.782998625152652,2.596640270400331
1998-12-08,257.31960588445344,431.28027176254307,273.6423724730286,419.135686979821,235.196757953327,162.38472822612385,1.676049014143931,1.833699900949006,2.6559164551605923,1.5316914671945876,1.6288525141299544,1.7820640498071632,2.5811274961532495
1998-12-09,257.77918755744776,433.8953761047903,275.74973435942354,423.46231278462625,234.7072402494935,162.57886366459894,1.683205615690343,1.8486663455441767,2.6688301684769966,1.5356762310881071,1.6427327465692123,1.8042149544874984,2.6046578456731697
1998-12-10,253.75619278660176,423.7782364400685,271.1154031313781,415.2663341119661,230.34065888355312,160.37048664883758,1.6700212585410599,1.8397891127606185,2.6424951703739197,1.5316958362219457,1.6364776345032397,1.8028355745995355,2.5894186816385525
1998-12-11,254.0698303575963,430.4119394080955,272.91078457647103,420.8567863732726,229.8243005177195,159.91343889859243,1.694069456425828,1.8727869004213968,2.6915307579686103,1.5421039041252924,1.6564610830846318,1.831210996510025,2.63177872523994
1998-12-14,248.56787863108738,414.14578393965706,264.52029354463644,405.55024266842025,226.53757877130064,156.9082647719535,1.6661275230751458,1.828154896798623,2.6394134467140153,1.533153608874193,1.6315472654868597,1.790211782380885,2.5846327678012164
1998-12-15,253.27916907846227,426.211625466152,270.66353712175714,418.03518324042085,229.86442158309788,157.5675451661442,1.6827740987025968,1.8541870139397496,2.704945520454361,1.5444828205742727,1.650491766699217,1.8186162972128233,2.6530538557266428
1998-12-16,253.08531255674978,423.15226307521357,270.2278085976024,416.1507611298681,229.01251678018403,157.6807949530217,1.6719747930071183,1.847725482539337,2.6836005183845284,1.5399997627541002,1.64431020087961,1.8171529092853353,2.6391975081927583
1998-12-17,257.01466274256325,431.8860921993378,274.8702167766645,424.53015198060615,231.23268475184537,159.27034057204165,1.6803947587688144,1.8677553852857347,2.711654226695056,1.5444749051351103,1.65177405619785,1.835943532101459,2.6654689784416035
1998-12-18,258.7680658670805,441.94264982038004,280.5535173931476,435.929648241206,231.9571790947624,160.74260014474987,1.7078716739622326,1.9052768771594322,2.7493809943500196,1.5538199352900124,1.684634642920455,1.8793539822413252,2.71197335273069
1998-12-21,261.99385859561306,454.291156192588,287.5319374052713,449.0703640271671,234.17732162503796,162.52628120224492,1.7339763558877364,1.9399451366174296,2.79518581753111,1.5618103786300794,1.7140492011314898,1.9176509531790333,2.763063060972592
1998-12-22,262.1528576355035,451.1510280150352,285.23896981116434,444.17586590177456,235.62608133840007,161.88318287569413,1.7209464435528457,1.9146905361766968,2.7868924986572714,1.557206107551961,1.6943392107491548,1.8850878620005596,2.743804872201244
1998-12-23,267.59166175001576,464.0549108741379,292.17299942583054,457.0251158134422,239.73109981711457,163.72350734157942,1.7341904745434786,1.9357309553418596,2.8343816865953855,1.564227757909095,1.7079198687453694,1.9064072878408196,2.7914446937661928
1998-12-24,267.09722259519936,460.7834805154465,290.89539650729324,453.7789042870603,240.14688838495158,164.03494116966726,1.7251526468090213,1.9187568226027483,2.809056882818896,1.559938416817412,1.6989278281443885,1.889588940080956,2.766355150014657
1998-12-28,266.9273222833432,462.8028716998039,293.21660059682426,458.28894226994345,240.37509761541708,165.1350872464632,1.7338160355444578,1.9253361778775242,2.8025713942251,1.5629706549258284,1.7169053296967105,1.9065574879273597,2.775236625429881
1998-12-29,270.4820409520905,460.63202540624786,293.4142888979271,458.11810517430905,242.82998781230413,165.99660028459948,1.7030041025453442,1.896932209881319,2.7749485508528426,1.5613353626880764,1.6937098801892503,1.8865796160580144,2.759804142909374
1998-12-30,268.3300501006506,457.865465954802,291.42121915173135,455.0175805786746,241.62271773278582,166.6032982164362,1.7063518073471706,1.8949603342396069,2.7482377051142404,1.5613742262939514,1.695738440059164,1.8831738374943923,2.7311438936074133
1998-12-31,267.7419397723336,456.89618407080513,294.88284932505337,461.3090476798053,239.19441378404107,170.66816942242176,1.7064796963050064,1.91014571303207,2.677102506091448,1.5643807319946847,1.7229614757854739,1.9285945703410219,2.7029589011294584
1999-01-04,267.49581032212194,462.4999614814066,296.94854596413063,465.9271393589039,239.26839733389542,170.38505112687858,1.7289988988031555,1.932975548107989,2.7144397846088175,1.5690500785115302,1.741810979386288,1.9472991191089462,2.7345540954291088
1999-01-05,271.1289383836179,474.92926445510363,302.76096288091054,478.14070351758795,242.57493791983853,170.72075188477578,1.7516730869322792,1.9578661692249884,2.781907057061503,1.5792680105382744,1.7635177800204824,1.9711051257718744,2.8007181214870616
1999-01-06,277.1318434396544,486.82346712946503,312.11975229041894,493.4547616009736,248.6653512622171,173.0262089630757,1.7566493301065602,1.957745478645759,2.8135822315413184,1.5809789607350047,1.780577632207118,1.9844130237534645,2.8519076072820755
1999-01-07,276.56335540087565,488.44910584478055,312.8231036915524,494.05778281053705,248.4775175109878,173.0423786874146,1.7661381969306047,1.965767811661999,2.822713774220127,1.5793519627555528,1.7864180961154652,1.988339982464166,2.855125932491992
1999-01-08,277.730828451469,489.87275305637337,315.28683641670665,495.89448094967025,251.2275786657189,174.4175705408853,1.7638400309671574,1.9499163095791865,2.808620436216557,1.5728359819445776,1.78552191600265,1.9738855247635965,2.843145214165378
1999-01-11,275.289156238891,497.65751485431036,320.6904479793874,502.55780243993405,250.6171634966488,175.18605211921826,1.8077628688812286,1.9857279841129674,2.8407370839982318,1.567111853834313,1.8255633796335349,2.0052808651577214,2.868708988875048
1999-01-12,269.98106103409464,480.8258756200723,312.10494454688836,487.20601910921795,246.8341566377784,172.85227950837373,1.7809615007007882,1.9479713916808912,2.7817155607530126,1.5610326834665822,1.8045933194095085,1.9738192871911886,2.8186265202572325
1999-01-13,268.86804116639354,481.58318198094037,311.57508342694194,489.625618326005,243.5745299672175,171.84111628864588,1.7911507068365349,1.9771491791270468,2.802491000884869,1.571453060176464,1.8210629132489269,2.0101675589475767,2.8492925843403416
1999-01-14,264.030402318089,472.8796130637813,306.197048875814,478.92462188874055,237.61826905206797,169.91586991172875,1.7910044029478185,1.9900810444846806,2.783022052674904,1.5641059365107748,1.8138995270391591,2.0155210447383425,2.8185985343072533
1999-01-15,270.7978587774782,491.4176259850745,315.79653799224565,497.8944711349717,243.3398077419918,172.72689625659154,1.8147027757294247,2.0194707579703297,2.8450556145874195,1.5766305555483875,1.8386204137016637,2.0460872216307453,2.882553220868005
1999-01-19,272.70153992431324,505.5936701316966,323.8615705811834,510.98240224560305,243.7219882392106,174.28005382419843,1.854018390479281,2.0744688396168085,2.9010415078348797,1.577780288438123,1.8737789393760786,2.0965789994462014,2.931961466807019
1999-01-20,273.707833680623,511.4599902748256,324.8460064443234,510.98240224560305,243.21893571814098,174.1708402967552,1.8686348264026105,2.102878991574657,2.9365420147447847,1.5729988736468654,1.8668899438291002,2.1009153778954324,2.9337999482288923
